Flight,Lattitude,Longtitude,Heading,Altitude,Speed,Time,DistanceToAirport
A7-BFD,41.1633,28.7298,358,2400,170,2019-07-14 21:24:30.758971,10.79905414232871
TC-JJR,41.0014,29.3319,274,9925,246,2019-07-14 21:24:30.759001,57.12376508749834
TC-JYI,40.9545,28.204,78,5250,258,2019-07-14 21:24:32.934387,56.50235367127044
TC-LOG,40.9952,28.4298,87,4575,260,2019-07-14 21:24:32.934458,39.42423865067797
TC-JJI,41.0087,28.5875,79,4600,234,2019-07-14 21:24:32.934494,30.818988785740576
UR-PSC,41.2352,28.7283,359,1400,138,2019-07-14 21:24:32.934527,3.0007466250447163
A7-BFD,41.1709,28.7297,359,2250,164,2019-07-14 21:24:32.934555,9.959229202566997
TC-JJR,41.0017,29.3246,273,9800,247,2019-07-14 21:24:32.934585,56.57909766895209
TC-JYI,40.9545,28.204,78,5250,258,2019-07-14 21:24:35.125758,56.50235367127044
TC-LOG,40.9952,28.4298,87,4575,260,2019-07-14 21:24:35.125827,39.42423865067797
TC-JJI,41.0087,28.5875,79,4600,234,2019-07-14 21:24:35.125863,30.818988785740576
UR-PSC,41.2352,28.7283,359,1400,138,2019-07-14 21:24:35.125895,3.0007466250447163
A7-BFD,41.1709,28.7297,359,2250,164,2019-07-14 21:24:35.125924,9.959229202566997
TC-JJR,41.0017,29.3246,273,9800,247,2019-07-14 21:24:35.125953,56.57909766895209
TC-JYI,40.9556,28.2117,79,5175,258,2019-07-14 21:24:37.312290,55.913573591711064
TC-LOG,40.9954,28.4363,87,4500,260,2019-07-14 21:24:37.312360,39.047393237668246
